s,velocity,energy,time
138.1463862,27.40798898,1.183277927,19.3
138.9071951,27.38912168,1.183277927,19.4
139.6674835,27.37038076,1.183277927,19.5
140.4272516,27.35165345,1.183277927,19.6
141.1865035,27.33306614,1.183277927,19.7
141.9452433,27.31463221,1.183277927,19.8
142.7034756,27.29636491,1.183277927,19.9
143.4612009,27.27811083,1.183277927,20
144.2184242,27.26003647,1.183277927,20.1
144.9751507,27.24215455,1.183277927,20.2
145.7313862,27.2244777,1.183277927,20.3
146.487131,27.20681358,1.183277927,20.4
147.2423912,27.18936698,1.183277927,20.5
147.9971731,27.1721499,1.183277927,20.6
148.7514835,27.15517411,1.183277927,20.7
149.5053227,27.1382105,1.183277927,20.8
150.2586977,27.12149967,1.183277927,20.9
151.0116158,27.10505254,1.183277927,21
151.7640847,27.08887977,1.183277927,21.1
152.5161122,27.07299153,1.183277927,21.2
153.2676988,27.05711463,1.183277927,21.3
154.0188524,27.04153212,1.183277927,21.4
154.7695817,27.02625318,1.183277927,21.5
155.5198952,27.01128658,1.183277927,21.6
156.2697933,26.99633062,1.183277927,21.7
157.0192848,26.98169541,1.183277927,21.8
157.7683789,26.96738861,1.183277927,21.9
158.517085,26.95341749,1.183277927,22
159.2654032,26.93945626,1.183277927,22.1
160.0133431,26.92583756,1.183277927,22.2
160.7609145,26.91256742,1.183277927,22.3
161.508127,26.89965147,1.183277927,22.4
162.254981,26.88674462,1.183277927,22.5
163.0014865,26.87419714,1.183277927,22.6
163.7476535,26.86201333,1.183277927,22.7
